Date,Currency Code,Rate
2017-05-09,CHF,1.363800
2017-05-09,TWD,0.045320
2017-05-09,THB,0.039470
2017-05-09,TRY,0.381000
2017-05-09,GBP,1.775100
2017-05-09,USD,1.372800
2017-05-09,VND,0.000060
2017-05-10,AUD,1.008500
2017-05-10,BRL,0.432600
2017-05-10,CNY,0.198100
2017-05-10,EUR,1.486000
2017-05-10,HKD,0.175590
2017-05-10,INR,0.021180
2017-05-10,IDR,0.000102
2017-05-10,JPY,0.011990
2017-05-10,MYR,0.314500
2017-05-10,MXN,0.071930
2017-05-10,NZD,0.949100
2017-05-10,NOK,0.158400
2017-05-10,PEN,0.415700
2017-05-10,RUB,0.023750
2017-05-10,SAR,0.364500
2017-05-10,SGD,0.969300
2017-05-10,ZAR,0.101470
2017-05-10,KRW,0.001206
2017-05-10,SEK,0.153300
2017-05-10,CHF,1.356100
2017-05-10,TWD,0.045230
2017-05-10,THB,0.039330
2017-05-10,TRY,0.381300
2017-05-10,GBP,1.769200
2017-05-10,USD,1.367200
2017-05-10,VND,0.000060
2017-05-11,AUD,1.010300
2017-05-11,BRL,0.434700
2017-05-11,CNY,0.198500
2017-05-11,EUR,1.489200
2017-05-11,HKD,0.175958
2017-05-11,INR,0.021280
2017-05-11,IDR,0.000103
2017-05-11,JPY,0.012040
2017-05-11,MYR,0.315200
2017-05-11,MXN,0.072530
2017-05-11,NZD,0.938700
2017-05-11,NOK,0.159400
2017-05-11,PEN,0.416800
2017-05-11,RUB,0.024000
2017-05-11,SAR,0.365500
2017-05-11,SGD,0.973300
2017-05-11,ZAR,0.102620
2017-05-11,KRW,0.001216
2017-05-11,SEK,0.154300
2017-05-11,CHF,1.360600
2017-05-11,TWD,0.045440
2017-05-11,THB,0.039460
2017-05-11,TRY,0.382900
2017-05-11,GBP,1.765100
2017-05-11,USD,1.370700
2017-05-11,VND,0.000060
2017-05-12,AUD,1.014100
2017-05-12,BRL,0.438400
2017-05-12,CNY,0.198800
2017-05-12,EUR,1.497300
2017-05-12,HKD,0.175965
2017-05-12,INR,0.021350
2017-05-12,IDR,0.000103
2017-05-12,JPY,0.012090
2017-05-12,MYR,0.315600
2017-05-12,MXN,0.073050
2017-05-12,NZD,0.940100
2017-05-12,NOK,0.159900
2017-05-12,PEN,0.418300
2017-05-12,RUB,0.024000
2017-05-12,SAR,0.365700
2017-05-12,SGD,0.976200
2017-05-12,ZAR,0.102450
2017-05-12,KRW,0.001221
2017-05-12,SEK,0.155000
2017-05-12,CHF,1.366900
2017-05-12,TWD,0.045470
2017-05-12,THB,0.039550
2017-05-12,TRY,0.383800
2017-05-12,GBP,1.766100
2017-05-12,USD,1.371400
2017-05-12,VND,0.000060
2017-05-15,AUD,1.012800
2017-05-15,BRL,0.439500
2017-05-15,CNY,0.197900
2017-05-15,EUR,1.497300
2017-05-15,HKD,0.175146
2017-05-15,INR,0.021300
2017-05-15,IDR,0.000103
2017-05-15,JPY,0.012010
2017-05-15,MYR,0.315200
2017-05-15,MXN,0.073060
2017-05-15,NZD,0.939800
2017-05-15,NOK,0.159900
2017-05-15,PEN,0.417900
2017-05-15,RUB,0.024200
2017-05-15,SAR,0.363700
2017-05-15,SGD,0.975600
2017-05-15,ZAR,0.103510
2017-05-15,KRW,0.001222
2017-05-15,SEK,0.154600
2017-05-15,CHF,1.368800
2017-05-15,TWD,0.045390
2017-05-15,THB,0.039500
2017-05-15,TRY,0.384200
2017-05-15,GBP,1.760600
2017-05-15,USD,1.364100
2017-05-15,VND,0.000060
2017-05-16,AUD,1.010000
2017-05-16,BRL,0.439400
2017-05-16,CNY,0.197400
2017-05-16,EUR,1.506300
2017-05-16,HKD,0.174563
2017-05-16,INR,0.021230
2017-05-16,IDR,0.000102
2017-05-16,JPY,0.012010
2017-05-16,MYR,0.314600
2017-05-16,MXN,0.072980
2017-05-16,NZD,0.936100
2017-05-16,NOK,0.160500
2017-05-16,PEN,0.416900
2017-05-16,RUB,0.024130
2017-05-16,SAR,0.362500
2017-05-16,SGD,0.974200
2017-05-16,ZAR,0.103890
2017-05-16,KRW,0.001218
2017-05-16,SEK,0.154700
2017-05-16,CHF,1.377000
2017-05-16,TWD,0.045170
2017-05-16,THB,0.039420
2017-05-16,TRY,0.383200
2017-05-16,GBP,1.755100
2017-05-16,USD,1.359600
2017-05-16,VND,0.000060
2017-05-17,AUD,1.010100
2017-05-17,BRL,0.437600
2017-05-17,CNY,0.197800
2017-05-17,EUR,1.516100
2017-05-17,HKD,0.174827
2017-05-17,INR,0.021230
2017-05-17,IDR,0.000102
2017-05-17,JPY,0.012220
2017-05-17,MYR,0.314900
2017-05-17,MXN,0.072880
2017-05-17,NZD,0.942100
2017-05-17,NOK,0.161900
2017-05-17,PEN,0.416300
2017-05-17,RUB,0.023910
2017-05-17,SAR,0.363000
2017-05-17,SGD,0.977900
2017-05-17,ZAR,0.103260
2017-05-17,KRW,0.001215
2017-05-17,SEK,0.155500
2017-05-17,CHF,1.388900
2017-05-17,TWD,0.045130
2017-05-17,THB,0.039480
2017-05-17,TRY,0.382300
2017-05-17,GBP,1.763800
2017-05-17,USD,1.361400
2017-05-17,VND,0.000060
2017-05-18,AUD,1.011100
2017-05-18,BRL,0.406500
2017-05-18,CNY,0.197600
2017-05-18,EUR,1.512800
2017-05-18,HKD,0.174893
2017-05-18,INR,0.020980
2017-05-18,IDR,0.000102
2017-05-18,JPY,0.012250
2017-05-18,MYR,0.314500
2017-05-18,MXN,0.071940
2017-05-18,NZD,0.940800
2017-05-18,NOK,0.160900
2017-05-18,PEN,0.414700
2017-05-18,RUB,0.023580
2017-05-18,SAR,0.362900
2017-05-18,SGD,0.977300
2017-05-18,ZAR,0.101330
2017-05-18,KRW,0.001205
2017-05-18,SEK,0.154800
2017-05-18,CHF,1.390500
2017-05-18,TWD,0.044930
2017-05-18,THB,0.039440
2017-05-18,TRY,0.375400
2017-05-18,GBP,1.767800
2017-05-18,USD,1.361100
2017-05-18,VND,0.000060
2017-05-19,AUD,1.009300
2017-05-19,BRL,0.412600
2017-05-19,CNY,0.196700
2017-05-19,EUR,1.516200
2017-05-19,HKD,0.174020
2017-05-19,INR,0.020980
2017-05-19,IDR,0.000102
2017-05-19,JPY,0.012160
2017-05-19,MYR,0.313400
2017-05-19,MXN,0.072470
2017-05-19,NZD,0.936800
2017-05-19,NOK,0.161600
2017-05-19,PEN,0.414000
2017-05-19,RUB,0.023800
2017-05-19,SAR,0.361200
2017-05-19,SGD,0.977300
2017-05-19,ZAR,0.102320
2017-05-19,KRW,0.001212
2017-05-19,SEK,0.155000
2017-05-19,CHF,1.389600
2017-05-19,TWD,0.045130
2017-05-19,THB,0.039440
2017-05-19,TRY,0.378100
2017-05-19,GBP,1.764100
2017-05-19,USD,1.354400
2017-05-19,VND,0.000060
2017-05-23,AUD,1.010700
2017-05-23,BRL,0.412700
2017-05-23,CNY,0.195800
2017-05-23,EUR,1.512000
2017-05-23,HKD,0.173211
2017-05-23,INR,0.020800
2017-05-23,IDR,0.000101
2017-05-23,JPY,0.012110
2017-05-23,MYR,0.314200
2017-05-23,MXN,0.072450
2017-05-23,NZD,0.947500
2017-05-23,NOK,0.161300
2017-05-23,PEN,0.411100
2017-05-23,RUB,0.023940
2017-05-23,SAR,0.359700
2017-05-23,SGD,0.971200
2017-05-23,ZAR,0.103050
2017-05-23,KRW,0.001199
2017-05-23,SEK,0.155200
2017-05-23,CHF,1.385700
2017-05-23,TWD,0.044700
2017-05-23,THB,0.039200
2017-05-23,TRY,0.378100
2017-05-23,GBP,1.751100
2017-05-23,USD,1.349000
2017-05-23,VND,0.000059
2017-05-24,AUD,1.006100
2017-05-24,BRL,0.412200
2017-05-24,CNY,0.195400
2017-05-24,EUR,1.506300
2017-05-24,HKD,0.172816
2017-05-24,INR,0.020790
2017-05-24,IDR,0.000101
2017-05-24,JPY,0.012030
2017-05-24,MYR,0.313500
2017-05-24,MXN,0.072590
2017-05-24,NZD,0.946000
2017-05-24,NOK,0.160700
2017-05-24,PEN,0.410900
2017-05-24,RUB,0.023830
2017-05-24,SAR,0.358900
2017-05-24,SGD,0.969800
2017-05-24,ZAR,0.104030
2017-05-24,KRW,0.001199
2017-05-24,SEK,0.154800
2017-05-24,CHF,1.379100
2017-05-24,TWD,0.044630
2017-05-24,THB,0.039170
2017-05-24,TRY,0.377400
2017-05-24,GBP,1.742800
2017-05-24,USD,1.346000
2017-05-24,VND,0.000059
2017-05-25,AUD,1.004100
2017-05-25,BRL,0.409500
2017-05-25,CNY,0.195900
2017-05-25,EUR,1.508200
2017-05-25,HKD,0.172663
2017-05-25,INR,0.020840
2017-05-25,IDR,0.000101
2017-05-25,JPY,0.012030
2017-05-25,MYR,0.314400
2017-05-25,MXN,0.072910
2017-05-25,NZD,0.946500
2017-05-25,NOK,0.160900
2017-05-25,PEN,0.411900
2017-05-25,RUB,0.023790
2017-05-25,SAR,0.358700
2017-05-25,SGD,0.971200
2017-05-25,ZAR,0.104290
2017-05-25,KRW,0.001201
2017-05-25,SEK,0.155000
2017-05-25,CHF,1.383600
2017-05-25,TWD,0.044670
2017-05-25,THB,0.039390
2017-05-25,TRY,0.377000
2017-05-25,GBP,1.742200
2017-05-25,USD,1.345300
2017-05-25,VND,0.000059
2017-05-26,AUD,1.001900
2017-05-26,BRL,0.412400
2017-05-26,CNY,0.196300
2017-05-26,EUR,1.503900
2017-05-26,HKD,0.172674
2017-05-26,INR,0.020860
2017-05-26,IDR,0.000101
2017-05-26,JPY,0.012100
2017-05-26,MYR,0.315200
2017-05-26,MXN,0.072820
2017-05-26,NZD,0.950000
2017-05-26,NOK,0.160400
2017-05-26,PEN,0.411200
2017-05-26,RUB,0.023740
2017-05-26,SAR,0.358800
2017-05-26,SGD,0.973700
2017-05-26,ZAR,0.104640
2017-05-26,KRW,0.001202
2017-05-26,SEK,0.154900
2017-05-26,CHF,1.380800
2017-05-26,TWD,0.044610
2017-05-26,THB,0.039520
2017-05-26,TRY,0.376100
2017-05-26,GBP,1.723100
2017-05-26,USD,1.345600
2017-05-26,VND,0.000059
2017-05-29,AUD,1.000600
2017-05-29,BRL,0.411200
2017-05-29,CNY,0.196100
2017-05-29,EUR,1.502700
2017-05-29,HKD,0.172504
2017-05-29,INR,0.020830
2017-05-29,IDR,0.000101
2017-05-29,JPY,0.012080
2017-05-29,MYR,0.314700
2017-05-29,MXN,0.072660
2017-05-29,NZD,0.950500
2017-05-29,NOK,0.159900
2017-05-29,PEN,0.409900
2017-05-29,RUB,0.023810
2017-05-29,SAR,0.358500
2017-05-29,SGD,0.970700
2017-05-29,ZAR,0.103650
2017-05-29,KRW,0.001198
2017-05-29,SEK,0.154600
2017-05-29,CHF,1.377900
2017-05-29,TWD,0.044540
2017-05-29,THB,0.039420
2017-05-29,TRY,0.375900
2017-05-29,GBP,1.726600
2017-05-29,USD,1.344600
2017-05-29,VND,0.000059
2017-05-30,AUD,1.004900
2017-05-30,BRL,0.412700
2017-05-30,CNY,0.196500
2017-05-30,EUR,1.505900
2017-05-30,HKD,0.172835
2017-05-30,INR,0.020830
2017-05-30,IDR,0.000101
2017-05-30,JPY,0.012150
2017-05-30,MYR,0.314500
2017-05-30,MXN,0.072240
2017-05-30,NZD,0.954800
2017-05-30,NOK,0.159600
2017-05-30,PEN,0.410100
2017-05-30,RUB,0.023800
2017-05-30,SAR,0.359200
2017-05-30,SGD,0.972700
2017-05-30,ZAR,0.102510
2017-05-30,KRW,0.001198
2017-05-30,SEK,0.154300
2017-05-30,CHF,1.381400
2017-05-30,TWD,0.044640
2017-05-30,THB,0.039470
2017-05-30,TRY,0.379200
2017-05-30,GBP,1.731900
2017-05-30,USD,1.346900
2017-05-30,VND,0.000059
2017-05-31,AUD,1.004000
2017-05-31,BRL,0.416200
2017-05-31,CNY,0.198200
2017-05-31,EUR,1.516400
2017-05-31,HKD,0.173248
2017-05-31,INR,0.020930
2017-05-31,IDR,0.000101
2017-05-31,JPY,0.012190
2017-05-31,MYR,0.315300
2017-05-31,MXN,0.072250
2017-05-31,NZD,0.958300
2017-05-31,NOK,0.160100
2017-05-31,PEN,0.412400
2017-05-31,RUB,0.023770
2017-05-31,SAR,0.360000
2017-05-31,SGD,0.976000
2017-05-31,ZAR,0.102720
2017-05-31,KRW,0.001206
2017-05-31,SEK,0.155300
2017-05-31,CHF,1.393000
2017-05-31,TWD,0.044810
2017-05-31,THB,0.039650
2017-05-31,TRY,0.382200
2017-05-31,GBP,1.738700
2017-05-31,USD,1.350000
2017-05-31,VND,0.000059
2017-06-01,AUD,0.996600
2017-06-01,BRL,0.416900
2017-06-01,CNY,0.198300
2017-06-01,EUR,1.514100
2017-06-01,HKD,0.173273
2017-06-01,INR,0.020950
2017-06-01,IDR,0.000101
2017-06-01,JPY,0.012130
2017-06-01,MYR,0.314800
2017-06-01,MXN,0.072590
2017-06-01,NZD,0.953800
2017-06-01,NOK,0.159700
2017-06-01,PEN,0.412700
2017-06-01,RUB,0.023940
2017-06-01,SAR,0.360000
2017-06-01,SGD,0.973900
2017-06-01,ZAR,0.104080
2017-06-01,KRW,0.001203
2017-06-01,SEK,0.155200
2017-06-01,CHF,1.390400
2017-06-01,TWD,0.044790
2017-06-01,THB,0.039520
2017-06-01,TRY,0.382200
2017-06-01,GBP,1.739200
2017-06-01,USD,1.350000
2017-06-01,VND,0.000059
2017-06-02,AUD,1.003300
2017-06-02,BRL,0.416400
2017-06-02,CNY,0.198200
2017-06-02,EUR,1.521800
2017-06-02,HKD,0.173313
2017-06-02,INR,0.020960
2017-06-02,IDR,0.000101
2017-06-02,JPY,0.012210
2017-06-02,MYR,0.315500
2017-06-02,MXN,0.072430
2017-06-02,NZD,0.963400
2017-06-02,NOK,0.160200
2017-06-02,PEN,0.412700
2017-06-02,RUB,0.023840
2017-06-02,SAR,0.360100
2017-06-02,SGD,0.977000
2017-06-02,ZAR,0.105310
2017-06-02,KRW,0.001206
2017-06-02,SEK,0.156300
2017-06-02,CHF,1.399600
2017-06-02,TWD,0.044860
2017-06-02,THB,0.039630
2017-06-02,TRY,0.384300
2017-06-02,GBP,1.739000
2017-06-02,USD,1.350400
2017-06-02,VND,0.000059
2017-06-05,AUD,1.009000
2017-06-05,BRL,0.410800
2017-06-05,CNY,0.198200
2017-06-05,EUR,1.517100
2017-06-05,HKD,0.173031
2017-06-05,INR,0.020950
2017-06-05,IDR,0.000101
2017-06-05,JPY,0.012200
2017-06-05,MYR,0.316200
2017-06-05,MXN,0.073370
2017-06-05,NZD,0.962700
2017-06-05,NOK,0.159600
2017-06-05,PEN,0.412300
